,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_random_state,params,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,split5_test_neg_mean_absolute_error,split6_test_neg_mean_absolute_error,split7_test_neg_mean_absolute_error,split8_test_neg_mean_absolute_error,split9_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,split5_test_neg_mean_squared_error,split6_test_neg_mean_squared_error,split7_test_neg_mean_squared_error,split8_test_neg_mean_squared_error,split9_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_max_error,split1_test_max_error,split2_test_max_error,split3_test_max_error,split4_test_max_error,split5_test_max_error,split6_test_max_error,split7_test_max_error,split8_test_max_error,split9_test_max_error,mean_test_max_error,std_test_max_error,rank_test_max_error
0,0.10940725803375244,0.004212103102054849,0.0032909393310546877,0.00045708160697760205,4,sqrt,1,2,10,0,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10, 'random_state': 0}",-0.9771955399245719,-1.3475156343987515,-1.5421425130991686,-1.1261715522294289,-1.094120662596774,-1.1094053631032468,-1.3012337734827473,-1.1308374685318474,-1.2456385235167255,-1.1276234145457398,-1.2001884445429,0.1535204460666341,136,-1.5077975290542878,-2.5256983816398164,-4.056585929196692,-2.5270176241162234,-2.692399539334316,-3.151093637059553,-3.1656641362758298,-2.264629618349655,-2.8979538526044912,-3.2317763864793827,-2.8020616634110245,0.6441828767189093,127,-11.648454412188462,-5.064885359452928,-7.674201033940879,-10.79169236338688,-17.127980665598283,-17.97585159846472,-8.297348587437492,-10.196653256246298,-11.705063584828185,-24.381201394596623,-12.486333225614075,5.462385502793363,136
1,0.21337954998016356,0.008380016150680217,0.004288864135742187,0.00045745601845834403,4,sqrt,1,2,20,0,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 20, 'random_state': 0}",-0.9662631173028481,-1.242145158967833,-1.4654177247667959,-1.120441236128177,-1.070769895990324,-1.0586059090059772,-1.2970011916046384,-1.0982603686326184,-1.2085753168598263,-1.0984249223975637,-1.1625904841656602,0.13639447074572322,123,-1.4778243332949326,-2.1779272145270716,-3.735485805716063,-2.490697651520269,-2.6495415823566297,-3.048050427561907,-3.079838749177629,-2.150746083438354,-2.7331976444940187,-3.0900568213806046,-2.6633366313467475,0.5993128193442633,123,-11.152004334838358,-5.677978976784006,-7.903940469830484,-10.74964686005958,-16.379909840368235,-18.081602711464278,-8.040103684972054,-9.906839836500822,-11.66300194545426,-24.35046580417959,-12.390549446445167,5.351467254210157,119
2,0.3065333366394043,0.012065028234134972,0.004788422584533691,0.0007457583108384033,4,sqrt,1,2,30,0,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 30, 'random_state': 0}",-0.978991824401231,-1.1869902079718906,-1.4510375032017357,-1.1131957705303492,-1.032914844724171,-1.076183369669866,-1.2818292157006415,-1.1011907625064743,-1.1972658288105529,-1.0959104048194652,-1.1515509732336375,0.12909105361125814,114,-1.5244401279324602,-2.000253267130097,-3.638267070319775,-2.4969490197512454,-2.490557180884925,-3.1615472589169107,-2.9339017283862727,-2.1720167867454934,-2.684037063772855,-3.0584716853445455,-2.6160441189184582,0.5866686136450612,114,-11.212107698924878,-5.502458433112729,-7.7350834432168725,-10.744394581364531,-16.666626943629073,-18.29909447841996,-7.259063709732434,-9.992066848852973,-11.953812294957705,-24.635567923404707,-12.400027635561585,5.55543552371017,126
3,0.10551416873931885,0.0019364592278168264,0.0030917882919311523,0.0002987469744635222,4,sqrt,1,4,10,0,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 10, 'random_state': 0}",-0.9771955399245719,-1.3475156343987515,-1.5421425130991686,-1.1261715522294289,-1.094120662596774,-1.1094053631032468,-1.3012337734827473,-1.1308374685318474,-1.2456385235167255,-1.1276234145457398,-1.2001884445429,0.1535204460666341,136,-1.5077975290542878,-2.5256983816398164,-4.056585929196692,-2.5270176241162234,-2.692399539334316,-3.151093637059553,-3.1656641362758298,-2.264629618349655,-2.8979538526044912,-3.2317763864793827,-2.8020616634110245,0.6441828767189093,127,-11.648454412188462,-5.064885359452928,-7.674201033940879,-10.79169236338688,-17.127980665598283,-17.97585159846472,-8.297348587437492,-10.196653256246298,-11.705063584828185,-24.381201394596623,-12.486333225614075,5.462385502793363,136
4,0.20520532131195068,0.003653637629082915,0.0038881540298461915,0.00030614073474848405,4,sqrt,1,4,20,0,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 20, 'random_state': 0}",-0.9662631173028481,-1.242145158967833,-1.4654177247667959,-1.1213405186324754,-1.0672049553871643,-1.054614392138754,-1.2932094421808407,-1.0923800258960858,-1.2085753168598263,-1.0984249223975637,-1.1609575574530189,0.1368329252849402,118,-1.4778243332949326,-2.1779272145270716,-3.735485805716063,-2.4865198335565726,-2.6286608547032033,-3.0550005235664988,-3.048368984992741,-2.13921483011695,-2.7331976444940187,-3.0900568213806046,-2.6572256846348656,0.5988308256700992,118,-11.152004334838358,-5.677978976784006,-7.903940469830484,-10.71906262615509,-16.35708278855669,-18.11958416312041,-7.719424441073194,-9.968254577341568,-11.66300194545426,-24.35046580417959,-12.363080012733365,5.378844209893624,109
5,0.3029963493347168,0.0066385383423302885,0.0045825719833374025,0.0004919945632981146,4,sqrt,1,4,30,0,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 30, 'random_state': 0}",-0.978991824401231,-1.1869902079718906,-1.4510375032017357,-1.113813045926075,-1.0313396774482781,-1.0729754785469914,-1.2796768960555742,-1.0977360203235138,-1.1972658288105529,-1.0959104048194652,-1.1505736887505307,0.129329914278948,109,-1.5244401279324602,-2.000253267130097,-3.638267070319775,-2.496195209114014,-2.4816718533533195,-3.166610958050309,-2.9184910408166456,-2.1660436901263553,-2.684037063772855,-3.0584716853445455,-2.613448196596038,0.5869883517052003,109,-11.212107698924878,-5.502458433112729,-7.7350834432168725,-10.724005092094872,-16.65140890908804,-18.324415446190713,-7.045277547133196,-10.03301000941347,-11.953812294957705,-24.635567923404707,-12.381714679753717,5.5759421248797905,114
6,0.1090095043182373,0.003510340706432708,0.003288459777832031,0.0004528034054726042,4,sqrt,1,6,10,0,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 10, 'random_state': 0}",-0.9771955399245719,-1.3475156343987515,-1.5421425130991686,-1.1261715522294289,-1.094120662596774,-1.1094053631032468,-1.3012337734827473,-1.1308374685318474,-1.2456385235167255,-1.1276234145457398,-1.2001884445429,0.1535204460666341,136,-1.5077975290542878,-2.5256983816398164,-4.056585929196692,-2.5270176241162234,-2.692399539334316,-3.151093637059553,-3.1656641362758298,-2.264629618349655,-2.8979538526044912,-3.2317763864793827,-2.8020616634110245,0.6441828767189093,127,-11.648454412188462,-5.064885359452928,-7.674201033940879,-10.79169236338688,-17.127980665598283,-17.97585159846472,-8.297348587437492,-10.196653256246298,-11.705063584828185,-24.381201394596623,-12.486333225614075,5.462385502793363,136
7,0.21358094215393067,0.006443916923779576,0.004288315773010254,0.000456617371102887,4,sqrt,1,6,20,0,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 20, 'random_state': 0}",-0.9662631173028481,-1.242145158967833,-1.4654177247667959,-1.1213405186324754,-1.0672049553871643,-1.054614392138754,-1.2932094421808407,-1.0923800258960858,-1.2085753168598263,-1.0984249223975637,-1.1609575574530189,0.1368329252849402,118,-1.4778243332949326,-2.1779272145270716,-3.735485805716063,-2.4865198335565726,-2.6286608547032033,-3.0550005235664988,-3.048368984992741,-2.13921483011695,-2.7331976444940187,-3.0900568213806046,-2.6572256846348656,0.5988308256700992,118,-11.152004334838358,-5.677978976784006,-7.903940469830484,-10.71906262615509,-16.35708278855669,-18.11958416312041,-7.719424441073194,-9.968254577341568,-11.66300194545426,-24.35046580417959,-12.363080012733365,5.378844209893624,109
8,0.3317066431045532,0.018085983982346142,0.005585289001464844,0.0015575410541354023,4,sqrt,1,6,30,0,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 30, 'random_state': 0}",-0.978991824401231,-1.1869902079718906,-1.4510375032017357,-1.113813045926075,-1.0313396774482781,-1.0729754785469914,-1.2796768960555742,-1.0977360203235138,-1.1972658288105529,-1.0959104048194652,-1.1505736887505307,0.129329914278948,109,-1.5244401279324602,-2.000253267130097,-3.638267070319775,-2.496195209114014,-2.4816718533533195,-3.166610958050309,-2.9184910408166456,-2.1660436901263553,-2.684037063772855,-3.0584716853445455,-2.613448196596038,0.5869883517052003,109,-11.212107698924878,-5.502458433112729,-7.7350834432168725,-10.724005092094872,-16.65140890908804,-18.324415446190713,-7.045277547133196,-10.03301000941347,-11.953812294957705,-24.635567923404707,-12.381714679753717,5.5759421248797905,114
9,0.12088236808776856,0.004457095828580574,0.0035898447036743163,0.0004889383617420229,4,sqrt,2,2,10,0,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10, 'random_state': 0}",-0.9772037872393837,-1.3475166031278991,-1.542249570856762,-1.1262010668968394,-1.094120662596774,-1.1094576329830201,-1.3035888214759737,-1.1308953351956577,-1.2456385235167255,-1.1276234145457398,-1.2004495418434773,0.15369255964953862,142,-1.5078307457117872,-2.5256991365447123,-4.057340068512234,-2.527233035722899,-2.692399539334316,-3.1513554549747544,-3.170672406918306,-2.2649392793818035,-2.8979538526044912,-3.2317763864793827,-2.8027199906184683,0.6445864220299737,133,-11.648454412188462,-5.064885359452928,-7.67486117318418,-10.792443614630622,-17.127980665598283,-17.97585159846472,-8.297348587437492,-10.196653256246298,-11.705063584828185,-24.381201394596623,-12.48647436466278,5.462304047336735,139
