,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_leaf_size,param_n_neighbors,param_p,param_weights,params,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,split5_test_neg_mean_absolute_error,split6_test_neg_mean_absolute_error,split7_test_neg_mean_absolute_error,split8_test_neg_mean_absolute_error,split9_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,split5_test_neg_mean_squared_error,split6_test_neg_mean_squared_error,split7_test_neg_mean_squared_error,split8_test_neg_mean_squared_error,split9_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_max_error,split1_test_max_error,split2_test_max_error,split3_test_max_error,split4_test_max_error,split5_test_max_error,split6_test_max_error,split7_test_max_error,split8_test_max_error,split9_test_max_error,mean_test_max_error,std_test_max_error,rank_test_max_error
0,0.09763822555541993,0.0032628315292621253,0.19053010940551757,0.027420600629215457,kd_tree,20,3,2,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 20, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",-1.3697761534947464,-1.1984285061671998,-1.945023602862799,-1.4027166133698796,-1.4704888076747373,-1.8388457438708694,-1.6139637581848638,-1.5022384650525353,-1.63599817268159,-1.6703334856098673,-1.5647813308969087,0.2120463555434622,16,-3.5298719455865184,-2.6715235267245316,-6.842447525506318,-3.6946203035378917,-4.586792802395818,-7.41202629308157,-4.932324755088573,-4.247420943099335,-4.978689406629105,-5.567939454850008,-4.8463656956499666,1.3902607234800524,16,-14.9,-10.466666666666665,-10.266666666666667,-11.033333333333333,-19.1,-21.200000000000003,-13.733333333333334,-12.666666666666666,-11.200000000000003,-17.900000000000002,-14.246666666666666,3.717173358585497,16
1,0.09608597755432129,0.0022436511687834036,0.19198088645935057,0.02848268411076864,kd_tree,20,3,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 20, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",-1.3659919384522754,-1.1974323711201194,-1.9358976722784877,-1.3962369409411066,-1.4716011439858951,-1.8438893838094577,-1.6074167814624598,-1.4909869969996457,-1.632786973857527,-1.6664793211719657,-1.560871952407894,0.21195723274190498,13,-3.514567269645293,-2.6702523475057096,-6.819669193746061,-3.669260178078862,-4.588681472238847,-7.419151174017191,-4.890542988146934,-4.210501654337777,-4.976422342769774,-5.539648555161309,-4.829869717564775,1.3919553195880838,13,-14.899999999999999,-10.46425831478092,-10.266132037403857,-11.032726395928776,-19.096311906081116,-20.943337156528123,-13.721054436316848,-12.791303114545352,-11.14549212019702,-17.846143388319025,-14.220675887010103,3.663783458367873,13
2,0.09580507278442382,0.0010077614188551023,0.20826704502105714,0.028828180476307298,kd_tree,20,5,2,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 20, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",-1.3641525810872546,-1.1855824577432617,-1.8948643216080403,-1.3780575605299223,-1.420877112836912,-1.7503243490178164,-1.6085609867519417,-1.4058839652809503,-1.6105893101873001,-1.6253467336683418,-1.5244239378711741,0.19991079053032593,10,-3.5503179113750574,-2.5347195066240293,-6.526185587939699,-3.634861372316126,-4.393562083142988,-7.135349291914116,-4.824371493832801,-3.710124805847419,-4.655071904979443,-5.328712135221562,-4.629327609319324,1.3359335975760667,10,-15.98,-9.2,-10.64,-8.940000000000001,-18.64,-23.320000000000004,-11.560000000000002,-10.6,-10.22,-19.42,-13.852,4.829129942339511,4
3,0.09541871547698974,0.0009207966252291094,0.20981829166412352,0.029670018775042717,kd_tree,20,5,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 20, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",-1.356118547409631,-1.1792851112938803,-1.8868256523314186,-1.3680051658190377,-1.4178135675240544,-1.7554963206611658,-1.5989540323783655,-1.3966700275766015,-1.602247698220956,-1.6195976444364215,-1.5181013767651532,0.20114675911064045,7,-3.5097766187090054,-2.5158530493486584,-6.498023777739878,-3.579529765934262,-4.38592217638767,-7.132792090290055,-4.776886442949271,-3.6816825837417335,-4.631152559279932,-5.293892349944508,-4.600551141432497,1.3414180596703016,7,-15.862828623022299,-9.26840111298388,-10.626599384446058,-8.917063207254966,-18.65635150901963,-22.981165115220534,-11.736452564155947,-10.80334002736846,-10.22109931510487,-19.373598597134915,-13.844689945571156,4.729417458579154,1
4,0.09546060562133789,0.0007589476495004719,0.22393853664398194,0.030311204464043836,kd_tree,20,7,2,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 20, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",-1.365329896234419,-1.1845487176140443,-1.8709136592051163,-1.3538562944593098,-1.3851106180251909,-1.7030738106114989,-1.58927755661424,-1.3855211120537754,-1.6170723748613198,-1.6022247601644586,-1.5056928799843372,0.19388828431075997,4,-3.5222623758868554,-2.5146482412060305,-6.3755834711591355,-3.5319236124966205,-4.219283266984272,-7.06332944872787,-4.718220881774363,-3.6144705680536258,-4.593518054092354,-5.201846804523545,-4.535508672490467,1.3161514387530278,4,-16.442857142857143,-8.257142857142856,-10.457142857142857,-8.857142857142858,-19.085714285714285,-24.22857142857143,-12.085714285714289,-10.071428571428571,-10.742857142857142,-20.414285714285718,-14.064285714285717,5.284371451048183,10
5,0.09546177387237549,0.0005294370772353706,0.22467129230499266,0.030504232401116604,kd_tree,20,7,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 20, 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",-1.3573022825091106,-1.1734402890383269,-1.8609738588710216,-1.3412894179930983,-1.3818315057972022,-1.7055204649123266,-1.5797366650947644,-1.3729395885714977,-1.6062532746115898,-1.5928481448505993,-1.4972135492249534,0.19520058676938026,1,-3.4794748883457154,-2.481075815203775,-6.343331711969241,-3.468330177029314,-4.213247572069507,-7.041731177680496,-4.662444518126019,-3.576715914914798,-4.553384233019191,-5.151951832587339,-4.497168784094539,1.3201900529743376,1,-16.317331745095466,-8.410733872153674,-10.452681415989453,-8.787007394232779,-19.0809144232541,-23.90561137392683,-12.17512514281874,-10.25795842602744,-10.668299589747631,-20.330730136673644,-14.038639351991979,5.184611812413919,7
6,0.09588434696197509,0.0009199859688984753,0.1901620626449585,0.027901912215349888,kd_tree,30,3,2,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",-1.3697761534947464,-1.1984285061671998,-1.945023602862799,-1.4027166133698796,-1.4704888076747373,-1.8388457438708694,-1.6139637581848638,-1.5022384650525353,-1.63599817268159,-1.6703334856098673,-1.5647813308969087,0.2120463555434622,16,-3.5298719455865184,-2.6715235267245316,-6.842447525506318,-3.6946203035378917,-4.586792802395818,-7.41202629308157,-4.932324755088573,-4.247420943099335,-4.978689406629105,-5.567939454850008,-4.8463656956499666,1.3902607234800524,16,-14.9,-10.466666666666665,-10.266666666666667,-11.033333333333333,-19.1,-21.200000000000003,-13.733333333333334,-12.666666666666666,-11.200000000000003,-17.900000000000002,-14.246666666666666,3.717173358585497,16
7,0.09541134834289551,0.001283630435479575,0.1917738676071167,0.029107796891373793,kd_tree,30,3,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",-1.3659919384522754,-1.1974323711201194,-1.9358976722784877,-1.3962369409411066,-1.4716011439858951,-1.8438893838094577,-1.6074167814624598,-1.4909869969996457,-1.632786973857527,-1.6664793211719657,-1.560871952407894,0.21195723274190498,13,-3.514567269645293,-2.6702523475057096,-6.819669193746061,-3.669260178078862,-4.588681472238847,-7.419151174017191,-4.890542988146934,-4.210501654337777,-4.976422342769774,-5.539648555161309,-4.829869717564775,1.3919553195880838,13,-14.899999999999999,-10.46425831478092,-10.266132037403857,-11.032726395928776,-19.096311906081116,-20.943337156528123,-13.721054436316848,-12.791303114545352,-11.14549212019702,-17.846143388319025,-14.220675887010103,3.663783458367873,13
8,0.09560377597808838,0.0007270604732580331,0.20872189998626708,0.029220474761447495,kd_tree,30,5,2,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",-1.3641525810872546,-1.1855824577432617,-1.8948643216080403,-1.3780575605299223,-1.420877112836912,-1.7503243490178164,-1.6085609867519417,-1.4058839652809503,-1.6105893101873001,-1.6253467336683418,-1.5244239378711741,0.19991079053032593,10,-3.5503179113750574,-2.5347195066240293,-6.526185587939699,-3.634861372316126,-4.393562083142988,-7.135349291914116,-4.824371493832801,-3.710124805847419,-4.655071904979443,-5.328712135221562,-4.629327609319324,1.3359335975760667,10,-15.98,-9.2,-10.64,-8.940000000000001,-18.64,-23.320000000000004,-11.560000000000002,-10.6,-10.22,-19.42,-13.852,4.829129942339511,4
9,0.09528095722198486,0.0007516575323799836,0.20895018577575683,0.028886134024256275,kd_tree,30,5,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",-1.356118547409631,-1.1792851112938803,-1.8868256523314186,-1.3680051658190377,-1.4178135675240544,-1.7554963206611658,-1.5989540323783655,-1.3966700275766015,-1.602247698220956,-1.6195976444364215,-1.5181013767651532,0.20114675911064045,7,-3.5097766187090054,-2.5158530493486584,-6.498023777739878,-3.579529765934262,-4.38592217638767,-7.132792090290055,-4.776886442949271,-3.6816825837417335,-4.631152559279932,-5.293892349944508,-4.600551141432497,1.3414180596703016,7,-15.862828623022299,-9.26840111298388,-10.626599384446058,-8.917063207254966,-18.65635150901963,-22.981165115220534,-11.736452564155947,-10.80334002736846,-10.22109931510487,-19.373598597134915,-13.844689945571156,4.729417458579154,1
