,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_random_state,params,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,split5_test_neg_mean_absolute_error,split6_test_neg_mean_absolute_error,split7_test_neg_mean_absolute_error,split8_test_neg_mean_absolute_error,split9_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,split5_test_neg_mean_squared_error,split6_test_neg_mean_squared_error,split7_test_neg_mean_squared_error,split8_test_neg_mean_squared_error,split9_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_max_error,split1_test_max_error,split2_test_max_error,split3_test_max_error,split4_test_max_error,split5_test_max_error,split6_test_max_error,split7_test_max_error,split8_test_max_error,split9_test_max_error,mean_test_max_error,std_test_max_error,rank_test_max_error
0,0.08266570568084716,0.0019170425581007391,0.00209200382232666,0.00029996144877979166,,0.5,1,2,0,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'random_state': 0}",-0.772559768539668,-0.7623389675650983,-1.3196619460941068,-1.0916628597533118,-1.1182275011420741,-0.9876244860666971,-1.0364321608040201,-0.9572255215471296,-1.1376884422110551,-0.9791914116034718,-1.0162613065326633,0.15900701938934272,71,-1.1301916146388509,-1.1704874371859297,-3.017113567839196,-2.2561592051164916,-2.5297817369676663,-2.089076427592508,-2.2618987614841886,-1.77373711994315,-2.4215138190954772,-2.12863750571037,-2.0778597195573827,0.5555883877983249,67,-9.0,-7.0,-7.600000000000001,-9.5,-12.200000000000001,-13.800000000000004,-10.7,-7.899999999999999,-9.2,-14.5,-10.140000000000002,2.467468338196056,73
1,0.07279229164123535,0.0024011357349681167,0.002097344398498535,0.0002989287818705364,,0.5,1,5,0,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'random_state': 0}",-0.7433188670625857,-0.7473937871174052,-1.2746794578955385,-1.0275430181209078,-1.045504416019491,-0.9633044007918381,-1.057822445561139,-0.9901222019186846,-1.0862798842698338,-0.9612479061976551,-0.989721638495508,0.14854300598330283,58,-1.1445898368103145,-1.1013012473986092,-2.7546620044667782,-2.08982047231105,-2.1367718266204756,-1.8591843783310495,-2.3422671234962693,-1.9477140402136948,-2.0915312039997973,-2.0584172592761787,-1.9526259392924217,0.47589202051889207,54,-12.200000000000003,-5.4,-7.049999999999999,-14.200000000000003,-8.500000000000002,-7.725000000000001,-8.733333333333334,-11.25,-8.5,-14.200000000000003,-9.775833333333335,2.869190870262905,67
2,0.06583046913146973,0.0010889629319797863,0.0019939899444580077,0.0004456886137286235,,0.5,1,10,0,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'random_state': 0}",-0.825036419471093,-0.7084254606365159,-1.229483474370409,-1.03777712516406,-0.9911124344667057,-0.9409732464631962,-0.9678850602217436,-0.9431712313370605,-1.050944821510148,-0.9214673475603123,-0.9616276621201244,0.13098860891865707,34,-1.2767040138149952,-0.9858384521772267,-2.812280140319287,-2.108441490430749,-1.8963516829556808,-2.283823623290788,-1.8752907670567849,-1.683528931794788,-2.105131482906556,-1.746672580044022,-1.8774063164790882,0.4853019433797146,44,-4.657142857142857,-5.399999999999999,-8.6,-10.183333333333334,-7.299999999999999,-17.050000000000004,-8.962500000000002,-10.439999999999998,-9.166666666666668,-15.322222222222223,-9.708186507936507,3.716600361832684,60
3,0.07075133323669433,0.0011398119787930303,0.001996779441833496,6.921903591035234e-06,,0.5,2,2,0,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'random_state': 0}",-0.7171372011573016,-0.7201380278013443,-1.3519737576772752,-1.0066793926341664,-1.0387231612608496,-0.9041952185168265,-1.0298182470795536,-0.9539136882101706,-1.05432751781998,-0.9208801583675955,-0.9697786370525062,0.1720562300372187,35,-1.004317699609157,-0.8997404646143519,-3.157111111252108,-1.8498809135090004,-2.1028166030771143,-1.7057262245571292,-2.168814996933752,-1.7047791384457274,-2.1431075264115766,-1.842893160245673,-1.8579187838655589,0.6016236302647816,43,-8.75,-3.9000000000000004,-7.200000000000003,-8.0,-11.7,-14.550000000000004,-8.55,-9.350000000000001,-9.5,-14.200000000000003,-9.57,3.045833219334244,55
4,0.0705716848373413,0.002065025924217808,0.0019945859909057616,4.454026625697471e-07,,0.5,2,5,0,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'random_state': 0}",-0.69213986599665,-0.7147129587330592,-1.251870717222476,-1.0160800757031914,-1.0762716178294067,-0.9220275620526878,-1.032836023552104,-0.9691636211359829,-1.0987857034088189,-0.9410766857374896,-0.9714964831371866,0.16090251705560094,45,-0.8545989128089945,-0.9390367240241613,-2.6423695002791736,-1.8666434947619979,-2.229979479752918,-1.6401277333637887,-2.3255591170287464,-1.7402027242543887,-2.256105669048103,-1.936171780295837,-1.8430795135618108,0.5520249082389141,42,-5.200000000000001,-4.324999999999999,-6.5,-7.800000000000001,-8.839999999999996,-9.500000000000004,-11.100000000000001,-9.55,-9.400000000000002,-12.860000000000007,-8.507500000000002,2.4820911042908973,6
5,0.06384210586547852,0.001318064190307684,0.001995563507080078,0.00044627297649218187,,0.5,2,10,0,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'random_state': 0}",-0.6845937932809792,-0.655696810169172,-1.2744177416664855,-1.0038196030658344,-1.0443416215275512,-0.8389376173798284,-0.9746948487023862,-0.9623511134315155,-1.1569938074209432,-0.9459723037989369,-0.9541819260443634,0.18162697939066672,33,-0.867861599908319,-0.8092178787441411,-3.0261265092260525,-1.9026409914315958,-2.1064682709065723,-1.5023143897584075,-1.8642662876320435,-1.7587644239170384,-2.796200412284688,-2.290256195099015,-1.8924116958907873,0.6855793049274437,47,-4.739999999999998,-4.9625,-8.7,-9.566666666666666,-9.750000000000002,-10.111111111111114,-9.922222222222226,-11.166666666666668,-16.1,-24.900000000000002,-10.991916666666668,5.529419530696747,100
6,0.06254866123199462,0.001130924281560006,0.001994466781616211,5.352483825837052e-07,,0.5,4,2,0,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 4, 'min_samples_split': 2, 'random_state': 0}",-0.6967418260131827,-0.684145438592675,-1.1689420361882674,-0.9688703981668806,-1.006204576602018,-0.8554200113119711,-0.986391789394302,-0.9116737086323655,-1.022915261734357,-0.9411047731771804,-0.9242409819813201,0.14027406875369647,20,-0.8606641145715177,-0.8651976183124216,-2.357840348286974,-1.646437212734865,-2.007766035912754,-1.4848870863736847,-1.9496898875080122,-1.5392263908781052,-1.9456702404130526,-1.9042050870977918,-1.6561584022089177,0.4635754588510672,19,-8.425,-6.24,-6.616666666666671,-5.899999999999999,-10.175000000000002,-9.600000000000001,-7.879999999999999,-9.55,-6.625,-12.95,-8.39616666666667,2.1007857061902655,4
7,0.06254634857177735,0.001557285505472336,0.0018928050994873047,0.0002989577708597781,,0.5,4,5,0,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'random_state': 0}",-0.6967418260131827,-0.684145438592675,-1.1689420361882674,-0.9688703981668806,-1.006204576602018,-0.8554200113119711,-0.986391789394302,-0.9116737086323655,-1.022915261734357,-0.9411047731771804,-0.9242409819813201,0.14027406875369647,20,-0.8606641145715177,-0.8651976183124216,-2.357840348286974,-1.646437212734865,-2.007766035912754,-1.4848870863736847,-1.9496898875080122,-1.5392263908781052,-1.9456702404130526,-1.9042050870977918,-1.6561584022089177,0.4635754588510672,19,-8.425,-6.24,-6.616666666666671,-5.899999999999999,-10.175000000000002,-9.600000000000001,-7.879999999999999,-9.55,-6.625,-12.95,-8.39616666666667,2.1007857061902655,4
8,0.06077291965484619,0.0012040612449844368,0.001989269256591797,1.1150345262327698e-05,,0.5,4,10,0,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'random_state': 0}",-0.6866510039374362,-0.7032602416632864,-1.1862957645369705,-1.0101255556280682,-0.995559189427394,-0.8554387195718854,-0.998426095122075,-0.8926167733591215,-1.0251599266172131,-0.8838417738040855,-0.9237375043667535,0.14473013108144536,19,-0.8767509614398523,-0.9006504453440419,-2.3358698894410206,-1.875059320021682,-1.8902814947523314,-1.4063118499896872,-1.8722780256364682,-1.5092012444483542,-1.9871421686670367,-1.7229066411366087,-1.6376452040877083,0.44545625658243126,18,-9.771428571428572,-5.66,-6.2875,-8.600000000000001,-10.175,-10.722222222222229,-8.04,-10.439999999999998,-7.199999999999999,-14.924999999999999,-9.18211507936508,2.5421290024743217,30
9,0.04754812717437744,0.0009274775753565052,0.002011537551879883,4.608255544712288e-05,,sqrt,1,2,0,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'random_state': 0}",-0.7079138114816508,-0.8833759707629054,-1.2614253083599818,-1.0867214862189738,-1.1055367747830058,-1.004488350845135,-1.1033363788640171,-1.0553753616567685,-1.224626922491244,-1.0630120298462007,-1.0495812395309883,0.15150151313468704,82,-0.9901017562560276,-1.429916628597533,-2.8567293741434443,-2.214499517790975,-2.4274023298309726,-3.065848338916806,-2.3664551596365664,-2.16224087609766,-2.7942441690777113,-2.6439480229429977,-2.2951386173290693,0.6147053373539543,95,-7.5,-5.0,-7.300000000000001,-11.1,-16.799999999999997,-29.200000000000003,-12.399999999999999,-11.5,-13.5,-17.200000000000003,-13.15,6.538386651154856,170
